English	Description	de	es	fr	it	pt_BR	nl	ca	cs	pl	hu	lt	sv	tr	ru	uk	ja	ko	zh_CN	zh_TW	th	vi	eu
Skirt	A loop printed around the object without touching it, to prime and stabilise the flow.	Saum	Falda	Jupe	Gonna	Saia	—	Faldilla	Okraj	—	Szoknya	Apvadas	—	Etek	Юбка	Спідниця	スカート	스커트	裙边	Skirt	เส้นล้อมชิ้นงาน	Viền	Gona
Draft shield	A tall wall printed around the model to shield it from drafts and keep chamber heat even.	Luftzug-Schutz	Protector contra corrientes de aire	Paravent	Scudo protettivo	Escudo de ar	Tochtscherm	Escut contra corrents d'aire	Ochranný štít	—	Huzatvédő	Apsauginis skydas	—	Rüzgarlık	Защитный кожух	Захисний екран	保護シールド	드래프트 실드	风挡	防風罩	โล่ร่าง	Tấm chắn gió	Aire-korronteen babeslea
Raft	A printed platform under the object, used instead of printing on the bed directly.	Druckbasis (Raft)	Balsa/capa base de impresión	Radeau	Zattera	Jangada	Vlot	Vora d'Adherència	—	Tratwa (raft)	Tutaj	Platforma	—	—	Подложка	Підкладка	ラフト	라프트	筏层	筏層	ฐานรองชิ้นงาน	Bè	Baltsa
Prime tower / Wipe tower	Tower printed beside the model to purge the nozzle after each filament change. Two English names for one object — see the note below.	Reinigungsturm	Torre de purga	Tour d’amorçage / Tour d’essuyage ⚠	Torre di spurgo	Torre de Purga	Prime toren / Afveegblok ⚠	Torre de Purga	Základní věž / Věž na očištění trysky ⚠	Wieża czyszcząca	Törlőtorony	Valymo bokštas	Prime torn	Prime Kulesi / Silme kulesi ⚠	Черновая башня	Підготовча вежа / Вежа протирання ⚠	プライムタワー / ワイプタワー ⚠	프라임 타워	擦拭塔	換料塔	ทาวเวอร์ไล่เส้น / ทาวเวอร์เช็ดหัวฉีด ⚠	—	Purgatze-dorrea
Flush / Purge	Extruding filament to clear the previous material from the nozzle, e.g. at the prime tower on a filament change. Two English names for one action.	Spülen	—	Purge	Spurgo	Purga	—	Purga	Čištění	Płukanie	Öblítés	Pravalymas	Rensning	Yıkama	Прочистка	—	フラッシュ	플러시	冲刷	清理	ไล่เส้น	Xả	Purgatzea
Interface layer	The prime tower layer where two materials meet and are purged into each other. Distinct from a support interface.	Schnittstellenschicht	Capa de interfaz	Couche d'interface	Strato di interfaccia	Camada de interface	—	Capa d'interfície	Vrstva rozhraní	Warstwa łącząca	Érintkezőréteg	Skiriamasis sluoksnis	—	Arayüz katmanı	Слой интерфейса	—	インターフェース層	인터페이스 레이어	接触层	介面層	เลเยอร์อินเทอร์เฟซ	—	Interfaze-geruza
PA Tower	Calibration model for tuning Pressure Advance.	PA Turm	Torre PA	Tour PA	Torre AP	Torre de PA	PA-toren	Torre PA( Pressure Advance )	PA věž	Wieża PA	PA-torony	PA bokštelis	PA torn	PA Kulesi	Башня	РА Вежа	PAタワー	PA 타워	PA塔	PA 塔	พีเอ ทาวเวอร์	Tháp PA	PA dorrea
Ringing Tower	Calibration model that shows ringing/ghosting artifacts, used to tune input shaping.	Ringing Turm	Torre de resonancia	Tour de résonance	Torre Ringing	Torre de Anéis	—	Torre de Ringing	Věž s ringingem	—	Rezonanciatorony	Bangavimo bokštelis	—	Titreşim Test Kulesi	Полный тест (Ringing Tower)	—	リンギングタワー	—	振纹塔	振鈴塔	ริงกิ้งทาวเวอร์	Tháp rung	Erresonantzia dorrea
Fast Tower	Input-shaping calibration model printed at high speed and acceleration.	Schneller Turm	Torre rápida	Tour rapide	Torre veloce	Torre Rápida	—	Torre ràpida	Rychlá věž	—	Gyors torony	Greitasis bokštelis	—	Hız Kulesi	Быстрый тест (Fast Tower)	Швидка вежа	高速タワー	—	快速塔	快速塔	ฟาสท์ ทาวเวอร์	Tháp nhanh	Dorre azkarra
VFA	Vertical Fine Artifacts: faint repeating vertical wall marks, targeted by the VFA test. Acronym kept in English.	VFA	VFA	VFA	VFA	VFA	VFA	VFA	VFA	Test VFA	VFA	VFA (smulkūs vertikalūs artefaktai)	VFA	VFA	Тест ряби (VFA)	Вертикальні дрібні артефакти (VFA)	VFA	VFA	VFA(Vertical Fine Artifacts垂直振纹)	VFA	VFA	VFA	VFA
Artifacts	Unwanted visual defects on the printed surface.	Artefakte	Artefactos	Artefacts	Artefatti	Artefatos	—	Defectes	Artefakty	Artefakty	Hibák	Artefaktai	—	Bozulmalar	Артефакты	Артефакти	アーティファクト	아티팩트	瑕疵	缺陷	สิ่งแปลกปลอม	Khuyết điểm	Artefaktuak
Bridge	An extrusion spanning a gap with no material beneath it.	Überbrückung	Puente	Pont	Ponte	Ponte	Brug	Pont	Můstky	Mosty	Áthidalás	Tiltas	Bridge/bro	Köprü	Мосты	Міст	ブリッジ	브릿지	桥接	橋接	สะพาน	Cầu	Zubia
Bridging	Printing a flat span across a gap between two supports, with no material beneath. See Bridge.	Brücken	Puentes	Ponts	Ponti	Ponte	Overbruggen	Ponts	Mostování	Mosty	Hídnyomtatás	Tiltai	—	Köprüleme	Мосты	Створення мостів	ブリッジング	브릿지	搭桥	橋接	การพิมพ์สะพาน	Bắc cầu	Zubigintza
Overhang	A downward-facing surface sloped beyond the angle the printer can print without support.	Überhänge	Voladizos	Surplombs	Sporgenze	Saliências	Overhangen	Voladissos	Převisy	Nawisy	Túlnyúlások	Iškyšos	—	Çıkıntılar	Нависания	Нависання	オーバーハング	오버행	悬垂	懸空	ส่วนยื่น	Phần nhô	Irtenguneak
Polyhole	A hole approximated as a many-sided polygon so it prints closer to round.	Polyhole	Poliorificio	Trou polygone	Poliforo	Polifuro	—	Poliforat	Polyotvor	Otwór poligonalny	Sokszögelt lyuk	Daugiakampė skylė	—	Çokgen delik	Многогранное отверстие	Поліотвір	—	폴리홀	多边形孔	多邊形孔	โพลีโฮล	Polyhole	Polizulo
Ironing	A second, hot pass over top surfaces that smooths them.	Glätten	Alisado	Lissage	Stiratura	Alisamento	Strijken	Planxat	Vyhlazování	Prasowanie	Vasalás	Lyginimas	Strykning	Ütüleme	Разглаживание	Розгладжування	アイロン	다림질	熨烫	熨燙	รีดผิว	—	Lisaketa
Seam	The visible start/end point of each perimeter loop on a layer.	Naht	Costura	Couture	Cucitura	Costura	Naad	Costura	Šev	Szew	Varrat	Siūlė	Söm	Dikiş	Шов	Шов	継ぎ目	재봉선	接缝	接縫	รอยตะเข็บ	Đường nối	Jostura
Scarf joint	A seam split into a sloped, overlapping (scarfed) transition to hide it and add strength. The woodworking joint, not the clothing scarf.	Schrägnaht	Costura en bisel	Couture en biseau	Cucitura obliqua	Costura em bisel	—	Unió en bisell	Šikmý spoj	Szew ukośny	Átlapolt varrat	Įstrižoji jungtis	—	Eğik birleşim	Косой шов	Шарфовий шов	—	스카프 조인트	斜拼接缝	斜拼接縫	รอยต่อเฉียง	Khớp vát	Alaka-juntura
Support	Printed structure that holds up overhangs and is removed after the print.	Stützen	Soportes	Supports	Supporto	Suporte	Ondersteuning	Suport	Podpora	Podpora	Támasz	Atramos	—	Destek	Поддержки	Підтримки	サポート	서포트	支撑	支撐	ส่วนรองรับ	—	Euskarria
Tree supports	Organic, branch-shaped supports that touch the model at fewer points.	Baumstützen	Soportes de árbol	Supports arborescents	Supporti ad albero	Suportes de árvore	Boomondersteuningen	Suports d'arbre	Stromové podpěry	Drzewo	Fatámaszok	Medžio tipo atramos	—	Ağaç destekler	Древовидная поддержка	Органічні підтримки	ツリーサポート	트리 서포트	树状支撑	樹狀支撐	ส่วนรองรับแบบต้นไม้	Support dạng cây	Zuhaitz-euskarriak
Gap fill	Extra extrusions that fill thin spaces the walls are too wide to cover.	Lücken füllen	Rellenar huecos	Remplissage des espaces	Riempi spazio vuoto	Preenchimento de vão	Gatvulling	Farcir el buit	Vyplnění mezery	Wypełnianie szczelin	Hézagok kitöltése	Plyšių užpildymas	Gap fyllning	Boşluk doldurma	Заполнение щели	Заповнення прогалин	隙間充填	간격 채우기	缝隙填充	縫隙填充	เติมช่องว่าง	Lấp khe	Hutsuneak bete
Fuzzy skin	Deliberately roughened outer surface, produced by jittering the wall path.	Fuzzy skin	Piel rugosa	Surface irrégulière	Superficie ruvida	Textura difusa	Vage buitenkant	Pell difusa	—	Skóra fuzzy	Barázdált felület	Grublėtas paviršius	Ojämn Yta	Pütürlü Yüzey	Нечёткая оболочка	Шорстка Поверхня	ファジー壁面	퍼지 스킨	绒毛表面	絨毛表面	ผิวฟัซซี	—	Gainazal zimurra
Perlin	Fuzzy skin type: Proper name of the noise function. Smooth, natural-looking variations with coherent structure.	Perlin	Perlin	Perlin	Perlin	Perlin	Perlin	Perlin	Perlin	Perlin	Perlin	Perlino (Perlin)	Perlin	Perlin	Шум Перлина	Перлін	Perlin	펄린	柏林噪波	柏林	เพอร์ลิน	Perlin	Perlin
Billow	Fuzzy skin type: Cloud-like noise pattern for fuzzy skin.	Billow	Ondulado	Billow	Ondulato	Billow	Billow	Billow	Vlnění	Billow	Billow	Gubruotas (Billow)	Billow	Billow	Волновой	Хвильовий	Billow	빌로우	云状噪波	波狀	บิลโลว์	Billow	Ondulatua
Ridged Multifractal	Fuzzy skin type: Noise pattern that produces sharp ridges.	Ridged Multifractal	Multifractal Rugoso	Multifractal strié	Multifrattale ruvido	Multifractal estriado	—	Multifractal estriat	Rýhovaný multifraktál	Pofałdowany multifraktal	Bordás multifraktális	Keterinis multifraktalas (Ridged Multifractal)	—	—	Ребристый	Гребеневий мультифрактал	—	리지드 멀티프랙탈	脊状多重分形	脊狀多重分形	Multifractal แบบสัน	—	Multifraktal Zimurra
Voronoi	Fuzzy skin type: Cell-based noise pattern for fuzzy skin, named after the Voronoi diagram.	Voronoi	Voronoi	Voronoi	Voronoi	Voronoi	Voronoi	Voronoi	Voronoi	Voronoi	Voronoi	Voronojaus (Voronoi)	Voronoi	Voronoi	Вороного	Вороного	Voronoi	보로노이	维诺图	沃羅諾伊	โวโรน้อย	Voronoi	Voronoi
Ripple	Fuzzy skin type: Wave-like noise pattern for fuzzy skin.	Ripple	Ripple	Ripple	Increspature	Ondulação	Ripple	Ripple	Vlnky	Ripple	Fodrozódás	Vilnelės (Ripple)	Ripple	Ripple	Синусоида	Ripple	Ripple	Ripple	波纹	漣漪	ระลอกคลื่น	Ripple	Uhina
Nozzle	The replaceable tip the melt is pushed through; its bore sets the extrusion width.	Düse	Boquilla	Buse	Ugello	Bico	Mondstuk	Broquet( nozzle )	Tryska	Dysza	Fúvóka	Purkštukas	Nozzel	Nozul	Сопло	Сопло	ノズル	노즐	喷嘴	噴嘴	หัวฉีด	Đầu phun	Pita
Hotend	The heated assembly — heat sink, heat break, heater block, heater cartridge, thermistor — that melts the filament and holds the nozzle. Not the nozzle alone, and not the extruder.	Hotend	Hotend	Hotend	Hotend	Hotend	Hotend	Hotend	Hotend	Hotend	Fejegység	Kaitinimo blokas (Hotend)	Hotend	Hotend	Хотэнд	Хотенд	ホットエンド	핫엔드	热端	熱端	ฮอตเอนด์	Hotend	Hotend
Extruder	The motor and gears that push filament into the hotend; in multi-tool printers also a whole toolhead.	Extruder	Extrusor	Extrudeur	Estrusore	Extrusora	—	Extrusor	—	Ekstruder	—	Ekstruderis (Stūmiklis)	—	Ekstruder	Экструдер	Екструдер	押出機	압출기	挤出机	擠出機	ชุดดันเส้น	—	Estrusorea
Extruder type	Whether the extruder is Direct Drive or Bowden.	Extruder Typ	Tipo de extrusor	Type d'extrudeur	Tipo di estrusore	Tipo de extrusora	Extrudertype	Tipus d'extrusora	Typ extruderu	Typ extrudera	Extruder típusa	Ekstruderio tipas	—	Ekstruder tipi	Тип подающего механизма	Тип екструдера	押出機タイプ	압출기 타입	挤出机类型	擠出機類型	ประเภทชุดดันเส้น	Loại extruder	Estrusore mota
Direct Drive	Extruder mounted on the toolhead, directly above the hotend.	Direktantrieb	Extrusor Directo	Entraînement direct	Direct Drive	Acionamento Direto	Direct Drive	Direct Drive	Direct Drive	Napęd bezpośredni	Direct Drive	Tiesioginė pavara (Direct Drive)	Direct Drive	Doğrudan Tahrik	Прямой (Direct)	Direct Drive	ダイレクトドライブ	직접 드라이브	直驱（近程）	直驅（近程）	ขับตรง	Direct Drive	Trakzio zuzeneko transmisioa
Bowden	Extruder mounted on the frame, feeding filament through a PTFE tube to the hotend.	Bowden	Bowden	Bowden	Bowden	Bowden	Bowden	Bowden	Bowden	Bowden	Bowden	Bowdeno vamzdelis (Bowden)	Bowden	Bowden	Внешний (Bowden)	Боуден	ボーデン	보우덴	远程挤出机	遠程擠出機	โบว์เดน	Bowden	Bowden
Nozzle volume	The molten volume held inside the hotend, used to compute flushing on filament change.	Volumen der Düse	Volumen de la boquilla	Volume de la buse	Volume ugello	Volume do bico	Mondstuk volume	Volum del broquet	Objem trysky	Objętość dyszy	Fúvóka térfogata	Purkštuko tūris	Nozzle volym	Nozul hacmi	Объём сопла	Обʼєм сопла	内腔容積	노즐 부피	喷嘴内腔体积	噴嘴內腔體積	ปริมาณหัวฉีด	Thể tích đầu phun	Pitaren bolumena
Bed / Build plate	The heated print surface, i.e. the removable build plate, that the first layer sticks to. Two English names for one object.	Druckbett	Cama	Plateau	Piatto	Mesa	Printbed	Llit	Podložka	Stół	Asztal	Pagrindas	Byggplattan	Yatak	Стол	Стіл	ベッド	베드	热床	列印板	ฐานพิมพ์	Bàn in	Ohea
Toolhead	The moving assembly that carries the hotend and nozzle (and on some printers the extruder).	Werkzeugkopf	Cabezal	Tête d'Outil	Testa di stampa	Cabeça da ferramenta	Printkop	—	Tisková hlava	Głowica	Szerszámfej	—	Verktygshuvud	—	—	Головка	ツールヘッド	툴헤드	工具头	工具頭	—	—	Inprimatze-burua
Chamber	The printer's enclosed build volume (the hardware enclosure itself, not its temperature setting).	Kammer	Recámara	Chambre	Camera	Câmara	Kamer	Cambra	Komora	Komora	Kamra	Kamera	Kammare	Oda	Камера	Термокамера	チャンバー	챔버	打印舱	倉室	ห้องพิมพ์	Buồng	Ganbera
Part cooling fan	The fan that blows air onto freshly extruded plastic to solidify it.	Bauteillüfter	Ventilador de refrigeración de piezas	Ventilateur de refroidissement des pièces	Ventola di raffreddamento	Ventilador de resfriamento de peças	Prinkop ventilator	Ventilador de refrigeració de peces	Ventilátor chlazení části	Wentylator chłodzący części	Tárgyhűtő ventilátor	Dalies aušinimo ventiliatorius	Del kylningsfläkten	Parça Soğutma Fanı	Вентилятор обдува модели	Вентилятор охолодження деталей	パーツ冷却ファン	출력물 냉각 팬	部件冷却风扇	物件冷卻風扇	พัดลมระบายความร้อนบางส่วน	Quạt làm mát phần	Pieza hozteko haizagailua
Exhaust fan	The fan that vents chamber air out of the enclosure.	Abluftventilator	Ventilador de extracción	Ventilateur d’extraction	Ventola di estrazione	Ventilador de exaustão	Uitlaatventilator	Ventiladord'extracció	Odsávací ventilátor	Wentylator wyciągowy	Elszívóventilátor	Ištraukimo ventiliatorius	Utsugs fläkt	Egzos Fanı	Вытяжной вентилятор	Витяжний вентилятор	排気ファン	공기 여과 팬	排气风扇	排風扇	พัดลมดูดอากาศ	Quạt thải	Erauzketa-haizagailua
Cooling	Part-cooling settings that control fan behaviour during printing.	Kühlung	Refrigeración	Refroidissement	Raffreddamento	Resfriamento	Koeling	Refrigeració	Chlazení	Chłodzenie	Hűtés	Aušinimas	Kylning	Soğutma	Охлаждение	Охолодження	冷却	냉각	冷却	冷卻	การระบายความร้อน	Làm mát	Hoztea
Filament	The plastic feedstock on the spool.	Filament	Filamento	Filament	Filamento	Filamento	—	—	—	—	—	Gija	—	—	Материал	Філамент	フィラメント	필라멘트	耗材丝	線材	เส้นพลาสติก	—	Filamentua
Cool Plate	Bambu Lab low-temperature build plate, for PLA and PVA.	Kalte Druckplatte	Cama Fría	Cool Plate/Plaque PLA	Piatto a bassa temperatura	Placa Fria	Cool (koud) printbed	Base Freda	Chladicí deska	Cool Plate / PLA Plate	—	Šaltas pagrindas	Kall platta	Soğuk plaka	Гладкое (низкотемп.)	Холодна пластина	常温プレート	쿨 플레이트	低温打印热床	低溫列印板	จานเย็น	Bản Cool	Plaka hotza
Engineering Plate	Bambu Lab high-temperature plate for engineering materials such as ABS, PC and PA.	Technische Druckplatte	Cama de Ingeniería	Plaque Engineering	Piatto ingegneristico	Placa de Engenharia	Engineering plate (technisch printbed)	Base d'Enginyeria	Inženýrská deska	—	Műszaki tálca	Inžinerinis pagrindas	—	—	Инженерный лист Bambu	Інженерна Пластина	エンジニアリングプレート	엔지니어링 플레이트	工程材料热床	工程列印板	แผ่นวิศวกรรม	Bản Engineering	Ingeniaritza-plaka
Textured PEI Plate	PEI-coated plate with a textured surface, leaving a matte finish on the bottom layer.	Texturierte PEI-Platte	Cama PEI Texturizada	Plaque PEI texturée	Piatto PEI ruvido	Placa PEI Texturizada	Getextureerde PEI-plaat	Base PEI amb Textura	Texturovaná PEI podložka	—	Texturált PEI tálca	Tekstūrinis PEI pagrindas	Texturerad PEI-platta	—	Текстурный лист с PEI	Текстурована PEI пластина	PEIプレート	텍스처 PEI 플레이트	纹理PEI热床	紋理 PEI 列印板	แผ่น PEI ที่มีพื้นผิว	Bản Textured PEI	Testuradun PEI plaka
Slice	Convert the model into layers and toolpaths — i.e. generate the G-code.	Slicen	Laminar	Découper	Elabora	Fatiar	—	Llesca	Slicovat	—	Szeletelés	Sluoksniuoti	Bered	Dilimle	Нарезать	Нарізка	スライス	슬라이스	切片	切片	สไลซ์	—	Xerratu
Preset	A saved, selectable set of settings (print, filament or printer).	Profil	Perfil	Préréglage	Profilo	Predefinição	Voorinstelling	Perfil	Předvolba	Profil	Beállítás	Profilis	Förinställd	Ön ayar	Профиль	Пресет	プリセット	사전 설정	预设	預設	พรีเซ็ต	Cài đặt sẵn	Aurrezarpena
Retraction	Pulling filament back to stop the nozzle oozing during travel moves.	Rückzug	Retracción	Rétraction	Retrazione	Retração	Terugtrekken (retraction)	Retracció	Retrakce	Retrakcja	Visszahúzás	Atitraukimas (Retraction)	Reduktion	Geri Çekme	Откат	Втягування	リトラクション	후퇴	回抽	回抽	การดึงกลับ	Rút	Atzera-egitea
Unretract	Pushing filament forward again to resume extrusion after a retraction; the reverse of retraction.	Einzug	Des-retracción	Annuler le retrait	De-retrazione	Desretração	Intrekken	Sense retracció	Navrácení	Deretrakcja	Visszahúzás	Gijos grąžinimas	Reversera Ej	İleri İtme	Подача	Подача	リトラクション回復	후퇴 취소	装填回抽	裝填回抽	คืนเส้น	Đẩy lại	Des-atzera-egiteak
Flow ratio	A multiplier on extrusion flow used to correct over- or under-extrusion.	Flussverhältnis	Factor de flujo	Rapport de débit	Flusso di stampa	Taxa de fluxo	Flow verhouding	Relació de flux	Poměr průtoku	Współczynnik przepływu	Anyagáramlás	Srauto santykis	Flödesförhållande	Akış oranı	Коэффициент потока	Коефіцієнт потоку	流量比	압출량 비율	流量比例	流量比例	อัตราส่วนการไหล	Tỷ lệ lưu lượng	Fluxu-ratioa
Flow Rate	The volume of material extruded per unit of time (mm³/s).	Durchflussrate	—	Débit	—	Taxa de fluxo	Flowrate	—	Průtok	Natężenie przepływu	—	Tūrinis srautas (Flow rate)	Flödeshastighet	Akış hızı	Расход	Потік	フロー率	압출량	流量	流量	อัตราการไหล	—	Fluxu-tasa
Volumetric Speed	Extrusion rate measured by volume rather than by distance (mm³/s).	Volumetrische Geschwindigkeit	Velocidad volumétrica	Vitesse volumétrique	Velocità volumetrica	Velocidade volumétrica	—	Velocitat volumètrica	—	Prędkości Przepływu	Volumetrikus sebesség	Tūrinis greitis	—	Hacimsel hız	Объёмный расход	Обʼємна швидкість	体積速度	—	体积流量	體積速度	ความเร็วปริมาตร	—	Abiadura bolumetrikoa
Ooze	Unwanted material seeping from the nozzle when it should not be extruding.	Ooze-Prävention	Prevención de rezumado	Prévention des suintements	Prevenzione trasudo materiale	Prevenção de vazamento	Druippreventie	Prevenció de degoteig	Prevence vytékání	Zapobieganie wyciekom	Szivárgás megelőzés	Ištekėjimo prevencija	—	Sızıntı Önleme	Предотвращение течи материала	Запобігання просочування	垂れ出し抑止	흘러내림 방지	Ooze 预防	防止漏料	การป้องกันน้ำซึม	Ngăn chảy nhựa	Jarioa saihestea
Layer height	The thickness of a single printed layer.	Schichthöhe	Altura de la capa	Hauteur de couche	Altezza strato	Altura da camada	Laaghoogte	Alçada de capa	Výška vrstvy	Wysokość warstwy	Rétegmagasság	Sluoksnio aukštis	Lager höjd	Katman Yüksekliği	Высота слоя	Висота шару	積層ピッチ	레이어 높이	层高	層高	ความสูงเลเยอร์	Chiều cao lớp	Geruza-altuera
Layer	One printed horizontal slice of the model.	Schicht	Capa	Couche	Strato	Camada	Laag	Capa	Vrstva	Warstwa	Réteg	Sluoksnis	Lager	Katman	Слой	Шар	積層	레이어	层	層	เลเยอร์	Lớp	Geruza
Line	A single extruded strand of material; also the wall/infill width-spacing unit.	Linie	Línea	Ligne	Linea	Linha	Lijn	Lineal	Čára	Linie	Vonal	Linija	Linje	Çizgi	Нити	Лінія	直線	선	线	線	เส้น	Đường	Lerro
Extrusion role	The function of an extrusion — outer wall, inner wall, infill, support, etc. — which sets its speed and parameters.	Extrusionsart	Rol de extrusión	Rôle de l'extrusion	Ruolo di estrusione	Tipo de extrusão	—	Rol d'extrusió	Role extruze	Tryb ekstruzji	Extrudálási szerep	Ekstruzijos vaidmuo	—	Ekstrüzyon rolü	Тип линии	Роль екструзії	押出ロール	압출 역할	挤出类型	擠出機任務	บทบาทการอัดขึ้นรูป	Vai trò đùn	Estrusio-rola
Contouring	Shaping a path or surface to follow the outline (contour) of the model.	Z-Konturierung	Perfilado Z	Contournage en Z	Contornatura Z	Contorno em Z	—	—	Konturování v ose Z	—	Z kontúrozás	Z ašies kontūravimas	—	—	Сглаживание	—	—	—	Z 层抗锯齿	Z 輪廓處理	รูปร่าง Z	—	Z sestra-doikuntza
Jerk	The instantaneous speed change a machine allows at a corner; Marlin-style motion setting.	Ruck	Jerk	Jerk	Scatto	Jerk	Jerk	Jerk	Jerk	Jerk	Rántás	Trūktelėjimas	Jerk	Jerk	Рывки	Jerk	Jerk	Jerk	抖动	急衝速度	—	Jerk	Jerka
Travel	A non-printing move between extrusions, with no material laid down.	Eilgang	Desplazamientos	Déplacement	Spostamento	Deslocamento	Verplaatsen	Recorregut	Přejezd	Przemieszczenie	Mozgás	Tuščioji eiga (Travel)	Flytta	Seyahat	Перемещения	Переміщення	移動	이동	空驶	空駛	เดินหัวเปล่า	Di chuyển	Desplazamenduak
Chamber temperature	The air temperature inside the printer's enclosure.	Druckraum Temperatur	Temperatura de recámara	Température du caisson	Temperatura della camera	Temperatura da câmara	Kamertemperatuur	Temperatura de la cambra	Teplota komory	Temperatura komory	Kamra hőmérséklete	Kameros temperatūra	Kammarens temperatur	Bölme sıcaklığı	Температура термокамеры	Температура в камері	庫内温度	챔버 온도	机箱温度	列印裝置內部溫度	อุณหภูมิห้องพิมพ์	Nhiệt độ buồng	Ganberako tenperatura
Spiral vase	Mode that prints the object as one continuous single-wall spiral, with no layer seam.	Vasenmodus	Vaso en espiral	Vase spirale	Vaso a spirale	Vaso espiral	Spiraalvaas	Gerro en Espiral	Spirálová váza	Tryb wazy	Spirál (váza)	Spiralinė vaza	Spiral vas	Spiral vazo	Режим вазы	Спіральна ваза	スパイラル	나선형 꽃병 모드	旋转花瓶	螺旋花瓶模式	แจกันเกลียว	Bình xoắn ốc	Espiral formako loreontzia
Gyroid	Infill pattern based on the gyroid minimal surface. Proper name of the surface.	Gyroid	Giroide	Gyroïde	Giroide	Giroide	Gyroide	Giroide	—	Gyroidalny	—	Giroidas	—	Jiroid	Гироид	Гіроїд	ジャイロイド	자이로이드	螺旋体	螺旋體	ไจรอยด์	—	Giroidea
Timelapse	Video assembled from one frame captured per layer.	Zeitraffer	Timelapse	Timelapse	Timelapse	Timelapse	Timelapse	Timelapse	Časosběr	Timelapse	Timelapse	Intervalinis fotografavimas („Timelapse“)	Timelapse	Timelapse	Таймлапсы	Таймлапс	タイムラプス	타임랩스	延时摄影	縮時攝影	ไทม์แลปส์	Timelapse	Timelapse
